"NUMERO_ORDEN";"NOMBRE_EMPRESA"
1;"C.A Inversora Primaban Financiadora de Primas"
2;"Conficrédito Financiadora de Primas, C.A."
3;"Financiadora de Primas de Seguros Serfiprima, C.A"
4;"Financiadora de Primas Finanseg, C.A."
5;"Financiadora de Primas Inversora Segaprima, C.A."
6;"Financiadora de Primas Inversora Segucons, C.A."
7;"Financiadora de Primas ISC 2004, C.A."
8;"Financiadora de Primas Universal, C.A."
9;"Finprica Financiadora de Primas, C.A."
10;"Interfin Financiadora de Primas, C.A."
11;"Inversora Catatumbo Financiadora de Primas, C.A."
12;"Inversora Previprima Financiadora de Primas, C.A."
13;"Inversora Primacred 13-11 C.A Financiadora de Primas"
14;"Inversora Primavil 12, Financiadora de Prima, C.A."
15;"Mercantil Financiadora de Primas, C.A."
16;"Pro Fin P.S 27 Financiadora de Primas, C.A."
17;"Univerprima,C.A Financiadora de Primas"
