"CONCEPTO";"MONTO";"TIPO"
"ACTIVOS";0.0;"SECCION"
"CIRCULANTE";249567.0;"LINEA"
"EXIGIBLE A CORTO PLAZO";0.0;"LINEA"
"INVERSIONES EN EL EXTRANJERO";40274.0;"LINEA"
"INVERSIONES A LARGO PLAZO";0.0;"LINEA"
"ACTIVOS FIJOS";22901.0;"LINEA"
"CARGOS DIFERIDOS";0.0;"LINEA"
"OTROS ACTIVOS";2178.0;"LINEA"
"TOTAL ACTIVO";314921.0;"TOTAL_ACTIVO"
"TOTAL GENERAL";314921.0;"TOTAL_GLOBAL"
"CUENTAS DE ORDEN";1017.0;"LINEA"
"PASIVOS";0.0;"SECCION"
"CIRCULANTE";214551.0;"LINEA"
"A LARGO PLAZO";2575.0;"LINEA"
"GRAVÁMENES Y CONTRIBUCIONES POR PAGAR";7835.0;"LINEA"
"DIVIDENDOS DECRETADOS POR PAGAR";0.0;"LINEA"
"CUENTAS POR PAGAR AL PERSONAL";775.0;"LINEA"
"OTROS PASIVOS";10805.0;"LINEA"
"CREDITOS DIFERIDOS";10588.0;"LINEA"
"EFECTOS DESCONTADOS";0.0;"LINEA"
"RESERVAS DE PREVISIÓN";34765.0;"LINEA"
"RESERVAS DE DEPRECIACIÓN, AMORTIZACIÓN Y DEVALUACIÓN";516.0;"LINEA"
"TOTAL PASIVO";282410.0;"TOTAL_PASIVO"
"CAPITAL";24442.0;"SECCION"
"Capital social";5654.0;"LINEA"
"Superávit Ganado";17652.0;"LINEA"
"Aportes No Capitalizados";1136.0;"LINEA"
"SUPERÁVIT NO REALIZADO";22277.0;"LINEA"
"TOTAL PASIVO + CAPITAL + SUPERÁVIT NO REALIZADO";329129.0;"LINEA"
"RESULTADO DEL EJERCICIO";14208.0;"SECCION"
"Utilidad del ejercicio";1467.0;"LINEA"
"Pérdida";15675.0;"LINEA"
"TOTAL GENERAL";314921.0;"TOTAL_GLOBAL"
"CUENTAS DE ORDEN";1017.0;"LINEA"
