"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES DE FINANCIAMIENTO";14292.0;"LINEA_INGRESO"
"POR FINANCIAMIENTO";118554.0;"LINEA_INGRESO"
"AJUSTE DE VALORES";104.0;"LINEA_INGRESO"
"OTROS INGRESOS";26344.0;"LINEA_INGRESO"
"TOTAL INGRESOS";159294.0;"TOTAL_INGRESOS"
"RESULTADO DEL EJERCICIO";15675.0;"SECCION"
"Pérdida del Ejercicio";15621.0;"LINEA_INGRESO"
"Saldo de Operaciones - Pérdida";54.0;"LINEA_INGRESO"
"TOTAL GENERAL";174969.0;"TOTAL_GLOBAL"
"GASTOS OPERACIONALES";9916.0;"LINEA_EGRESO"
"GASTOS DE ADMINISTRACIÓN";50318.0;"LINEA_EGRESO"
"GASTOS FINANCIEROS";2855.0;"LINEA_EGRESO"
"AJUSTES DE RESERVAS DE PREVISIÓN";8727.0;"LINEA_EGRESO"
"AJUSTES DE VALORES Y OTROS ACTIVOS";21.0;"LINEA_EGRESO"
"OTROS GASTOS";101666.0;"LINEA_EGRESO"
"PÉRDIDAS EN ACTIVOS";0.0;"LINEA_EGRESO"
"TOTAL EGRESOS";173502.0;"TOTAL_EGRESOS"
"RESULTADO DEL EJERCICIO";1467.0;"SECCION"
"Utilidad del Ejercicio";1467.0;"LINEA_EGRESO"
"Saldo de Operaciones - Utilidad";0.0;"LINEA_EGRESO"
"TOTAL GENERAL";174969.0;"TOTAL_GLOBAL"
