"NOMBRE_EMPRESA";"DISPONIBLE";"INVERSIONES";"EXIGIBLE_CORTO_PLAZO";"GASTOS_PAGADOS_ANTICIPADO";"TOTAL"
"C.A. Inversora Primaban Financiadora de Primas";186.0;0.0;2387.0;17.0;2590.0
"Conficrédito Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0;0.0
"Financiadora de Primas de Seguros Serfiprima, C.A";13586.0;10734.0;33698.0;708.0;58726.0
"Financiadora de Primas Finanseg, C.A.";3.0;0.0;0.0;0.0;3.0
"Financiadora de Primas Inversora Segaprima, C.A.";103.0;0.0;0.0;0.0;103.0
"Financiadora de Primas Inversora Segucons, C.A.";3071.0;0.0;105589.0;713.0;109372.0
"Financiadora de Primas ISC 2004, C.A.";228.0;0.0;83.0;1.0;312.0
"Financiadora de Primas Universal, C.A.";63.0;0.0;0.0;0.0;63.0
"Finprica Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0;0.0
"Interfin Financiadora de Primas, C.A.";11.0;0.0;0.0;0.0;11.0
"Inversora Catatumbo Financiadora de Primas, C.A.";1382.0;0.0;1710.0;3.0;3094.0
"Inversora Previprima Financiadora de Primas, C.A.";321.0;0.0;1109.0;0.0;1430.0
"Inversora Primacred 13-11 C.A Financiadora de Primas.";3.0;0.0;0.0;0.0;3.0
"Inversora Primavil 12, Financiadora de Prima, C.A.";0.0;0.0;0.0;0.0;0.0
"Mercantil Financiadora de Primas, C.A.";13.0;21.0;0.0;13.0;48.0
"Pro Fin P.S 27 Financiadora de Primas, C.A.";6.0;0.0;0.0;0.0;6.0
"Univerprima,C.A Financiadora de Primas";1241.0;0.0;72479.0;87.0;73807.0
"TOTAL";20217.0;10755.0;217054.0;1541.0;249567.0
