"NOMBRE_EMPRESA";"GASTOS_OPERATIVOS";"GASTOS_ADMINISTRATIVOS";"GASTOS_FINANCIEROS"
"C.A. Inversora Primaban Financiadora de Primas";2.0;577.0;7.0
"Conficrédito Financiadora de Primas, C.A.";0.0;0.0;0.0
"Financiadora de Primas de Seguros Serfiprima, C.A";2487.0;18928.0;1259.0
"Financiadora de Primas Finanseg, C.A";0.0;71.0;0.0
"Financiadora de Primas Inversora Segaprima, C.A.";0.0;43.0;5.0
"Financiadora de Primas Inversora Segucons, C.A.";4520.0;20022.0;175.0
"Financiadora de Primas ISC 2004, C.A.";93.0;109.0;11.0
"Financiadora de Primas Universal, C.A.";0.0;728.0;27.0
"Finprica Financiadora de Primas, C.A.";0.0;0.0;0.0
"Interfin Financiadora de Primas, C.A.";0.0;69.0;2.0
"Inversora Catatumbo Financiadora de Primas, C.A.";0.0;1308.0;25.0
"Inversora Previprima Financiadora de Primas, C.A.";0.0;1466.0;76.0
"Inversora Primacred 13-11 C.A Financiadora de Primas.";0.0;536.0;10.0
"Inversora Primavil 12, Financiadora de Prima, C.A.";0.0;0.0;0.0
"Mercantil Financiadora de Primas, C.A.";0.0;2799.0;10.0
"Pro Fin P.S 27 Financiadora de Primas, C.A.";0.0;11.0;0.0
"Univerprima,C.A Financiadora de Primas";2814.0;3649.0;1248.0
"TOTAL";9916.0;50318.0;2855.0
