"NOMBRE_EMPRESA";"SOLVENCIA";"ENDEUDAMIENTO";"RENTABILIDAD_FINANCIERA";"RENTABILIDAD_INGRESOS";"APALANCAMIENTO"
"C.A Inversora Primaban Financiadora de Primas";1.01;132.02;115.11;0.0;30.83
"Conficrédito Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0;0.0
"Financiadora de Primas de Seguros Serfiprima, C.A";0.64;188.55;156.22;0.0;-1.57
"Financiadora de Primas Finanseg, C.A";0.04;11.44;-0.75;0.0;0.0
"Financiadora de Primas Inversora Segaprima, C.A.";37.11;0.02;1.03;0.0;0.0
"Financiadora de Primas Inversora Segucons, C.A.";1.12;7.48;6.07;0.01;0.03
"Financiadora de Primas ISC 2004, C.A.";0.59;4.94;5.82;0.0;-0.66
"Financiadora de Primas Universal, C.A";0.27;24.29;1.03;0.02;0.0
"Finprica Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0;0.0
"Interfin Financiadora de Primas, C.A.";0.0;0.0;1.0;0.0;0.91
"Inversora Catatumbo Financiadora de Primas, C.A.";1.13;8.94;8.74;0.05;0.42
"Inversora Previprima Financiadora de Primas, C.A.";1.46;20.33;3.17;0.2;0.9
"Inversora Primacred 13-11 C.A Financiadora de Primas";0.03;0.21;-0.03;0.0;0.0
"Inversora Primavil 12, Financiadora de Prima, C.A.";0.0;0.0;0.0;0.0;0.0
"Mercantil Financiadora de Primas, C.A.";0.02;2.59;3.45;0.0;0.01
"Pro Fin P.S 27 Financiadora de Primas, C.A.";0.78;0.76;-3.48;0.0;0.0
"Univerprima, C.A Financiadora de Primas";0.88;9.99;22.97;0.0;0.94
