"CONCEPTO";"MONTO";"TIPO"
"ACTIVO";0.0;"SECCION"
"BIENES APTOS PARA LA REPRESENTACIÓN DE LAS RESERVAS TÉCNICAS";18718.0;"LINEA"
"GARANTIA A LA NACIÓN";45.0;"LINEA"
"BIENES NO APTOS PARA LA REPRESENTACIÓN DE LAS RESERVAS TÉCNICAS";516.0;"LINEA"
"CUENTAS DE REASEGURO";0.0;"LINEA"
"ACTIVOS DEPRECIABLES Y AMORTIZABLES";222.0;"LINEA"
"CUENTAS DIVERSAS";4280.0;"LINEA"
"CARGOS DIFERIDOS";5054.0;"LINEA"
"OTROS ACTIVOS";52.0;"LINEA"
"TOTAL ACTIVO";28887.0;"TOTAL_ACTIVO"
"PÉRDIDAS DEL EJERCICIO";1919.0;"LINEA"
"PÉRDIDAS DE EJERCICIOS ANTERIORES";143.0;"LINEA"
"SALDO DE OPERACIONES";0.0;"LINEA"
"TOTAL GENERAL";30949.0;"TOTAL_GLOBAL"
"CUENTAS DE ORDEN";1687.0;"LINEA"
"PASIVO";0.0;"SECCION"
"RESERVAS TÉCNICAS";4550.0;"LINEA"
"OBLIGACIONES A PAGAR";3605.0;"LINEA"
"CUENTAS DIVERSAS";3305.0;"LINEA"
"CUENTAS DE REASEGURO";0.0;"LINEA"
"DEPÓSITOS CONSTITUIDOS POR REASEGURADORES";0.0;"LINEA"
"CRÉDITOS DIFERIDOS";477.0;"LINEA"
"RESERVAS DE PROVISIÓN";56.0;"LINEA"
"RESERVAS DE DEPRECIACIÓN, AMORTIZACIÓN Y DEVALUACIÓN";665.0;"LINEA"
"TOTAL PASIVO";12659.0;"TOTAL_PASIVO"
"PATRIMONIO";0.0;"SECCION"
"CAPITAL SOCIAL";369.0;"LINEA"
"SUPERÁVIT GANADO";522.0;"LINEA"
"APORTES NO CAPITALIZADOS";1669.0;"LINEA"
"TOTAL PATRIMONIO";2560.0;"TOTAL_PATRIMONIO"
"SUPERÁVIT NO REALIZADO";14751.0;"LINEA"
"TOTAL PASIVO + PATRIMONIO + SUPERAVIT NO REALIZADO";29969.0;"LINEA"
"UTILIDAD DEL EJERCICIO";980.0;"LINEA"
"TOTAL GENERAL";30949.0;"TOTAL_GLOBAL"
"CUENTAS DE ORDEN";1687.0;"LINEA"
