"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES DE MEDICINA PREPAGADA";73178.0;"SECCION"
"Ingresos por Contratos";72173.0;"LINEA"
"Servicios Prestados y Reembolsos a Cargo de Reaseguradores";0.0;"LINEA"
"Comisiones Pagadas por Reaseguradores";0.0;"LINEA"
"Participación en las Utilidades de Reaseguradores";0.0;"LINEA"
"Reservas Técnicas a Cargo de Reaseguradores";0.0;"LINEA"
"Impuestos a Cargo de Reaseguradores";0.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior";1005.0;"LINEA"
"INGRESOS POR SERVICIOS MÉDICOS ASISTENCIALES PRESTADOS A TERCEROS";0.0;"SECCION"
"Hospitalarios Quirúrgicos";0.0;"LINEA"
"Hospitalarios no Quirúrgicos";0.0;"LINEA"
"GESTIÓN FINANCIERA";3566.0;"SECCION"
"Producto de Inversiones";0.0;"LINEA"
"Ajuste de Valores";0.0;"LINEA"
"Ingresos por Otros Servicios";267.0;"LINEA"
"Beneficios Diversos";3299.0;"LINEA"
"TOTAL INGRESOS";76744.0;"TOTAL_INGRESOS"
"RESULTADO DEL EJERCICIO: PÉRDIDA";1919.0;"LINEA"
"TOTAL GENERAL";78663.0;"TOTAL_GLOBAL"
