"CONCEPTO";"MONTO";"TIPO"
"OPERACIONES DE MEDICINA PREPAGADA DIRECTA";31118.0;"SECCION"
"Costos Médicos Contratos Individuales";28598.0;"LINEA"
"Costos Médicos Contratos Colectivos";2521.0;"LINEA"
"Costos Médicos Contratos Solidarios";0.0;"LINEA"
"OPERACIONES DE MEDICINA PREPAGADA INDIRECTA";6275.0;"SECCION"
"Individual";887.0;"LINEA"
"Colectivo";5387.0;"LINEA"
"Solidario";0.0;"LINEA"
"ANULACIONES Y DEVOLUCIONES";32.0;"SECCION"
"Anulaciones";0.0;"LINEA"
"Devoluciones";32.0;"LINEA"
"CUOTAS CEDIDAS EN REASEGURO PROPORCIONAL";0.0;"SECCION"
"Individual";0.0;"LINEA"
"Colectivo";0.0;"LINEA"
"Solidario";0.0;"LINEA"
"CUOTAS PAGADAS POR REASEGURO NO PROPORCIONAL";0.0;"SECCION"
"Individual";0.0;"LINEA"
"Colectivo";0.0;"LINEA"
"Solidario";0.0;"LINEA"
"COMISIONES Y GASTOS DE ADQUISICIÓN";1082.0;"SECCION"
"Comisiones";1082.0;"LINEA"
"Gastos de Adquisición";0.0;"LINEA"
"Intereses por Comisiones y Gastos de Adquisición";0.0;"LINEA"
"RESERVAS TÉCNICAS";3221.0;"SECCION"
"Reservas para Cuotas en Curso";2964.0;"LINEA"
"Reservas para Servicios Prestados y Reembolsos Pendientes de Pago";250.0;"LINEA"
"Reservas para Servicios Prestados y Reembolsos no Notificados";7.0;"LINEA"
"Reservas para Riesgos Catastróficos";0.0;"LINEA"
"Reservas de Reintegro por Experiencia Favorable";0.0;"LINEA"
"Reservas Técnicas del Ejercicio Anterior a Cargo de Reaseguradores";0.0;"LINEA"
"GASTOS DE ADMINISTRACIÓN";29605.0;"SECCION"
"Operaciones de Medicina Prepagada Directa";20628.0;"LINEA"
"Operaciones de Medicina Prepagada Indirecta";8977.0;"LINEA"
"Operaciones por Servicios Médicos Asistenciales Prestados a Terceros";0.0;"LINEA"
"GESTIÓN FINANCIERA";6351.0;"SECCION"
"Gastos de Administración";1149.0;"LINEA"
"Egresos Financieros";3500.0;"LINEA"
"Ajustes de Reservas de Provisión";1464.0;"LINEA"
"Ajustes de Valores y Otros Activos";236.0;"LINEA"
"Pérdidas en Activos";0.0;"LINEA"
"Otros Egresos";3.0;"LINEA"
"TOTAL EGRESOS";77683.0;"TOTAL_EGRESOS"
"RESULTADO DEL EJERCICIO: UTILIDAD";980.0;"LINEA"
"TOTAL GENERAL";78663.0;"TOTAL_GLOBAL"
