"NOMBRE_EMPRESA";"INGRESOS_POR_CONTRATOS"
"Asistensi Medicina Prepagada, C.A.";435.0
"CliniSalud Medicina Prepagada, S.A";0.0
"Mediplus Medicina Prepagada, S.A.";0.0
"Medlife Medicina Prepagada, S.A.";0.0
"Novosalud Medicina Prepagada, S.A";3545.0
"Planisalud Medicina Prepagada, C.A.";843.0
"Privanza Medicina Prepagada, S.A.";0.0
"Rescarven Medicina Prepagada, S.A.";59005.0
"Salud Vital Medicina Prepagada, S.A.";0.0
"Venezolana de Protección de la Salud, S.A. (VENESALUD)";8314.0
"TOTAL";72141.0
